topic; item; concept; prompt; concept_summary
acceptability_service; Personalised_Locations; … suggest restaurants and shops?; NA; Recommending restaurants or shops
acceptability_service; Personalised_Entertainment_Recommendations; … recommend movies or music?; NA; Recommending movies or music
acceptability_service; Customised_Posts_Social_Media; … customise posts you see in your social media feed?; NA; Social media posts
acceptability_service; Customised_Search_Results; … customize search results in search engines (e.g., Google search)?; NA; Search engine results
acceptability_service; Customised_Newspapers; … customise front pages of online newspapers?; NA; Online newspapers front pages
acceptability_information; info_age; Age?; NA; Age
acceptability_information; info_gender; Gender?; NA; Gender
acceptability_information; info_ethnicity; Ethnicity?; NA; Ethnicity
acceptability_information; info_relationship_status; Relationship / marital status?; NA; Relationship/marital status
acceptability_information; info_sexual_orientation; Sexual orientation?; NA; Sexual orientation
acceptability_information; info_religion; Religious views?; NA; Religious views
acceptability_information; info_politics; Political views?; NA; Political views
acceptability_information; info_household_income; Household income?; NA; Household income
acceptability_information; info_personality; Personality (e.g., outgoing, cautious, ...)?; NA; Personality
acceptability_information; info_personal_events; Personal events in your life (e.g., pregnancy, marriage, …)?; NA; Personal events
acceptability_information; info_personal_Tragedies; Personal tragedies in your life (e.g., death in the family, divorce, …)?; NA; Personal tragedies
acceptability_data; search_history; Your browsing and search history?; NA; Browsing and search history
acceptability_data; Purchasing_History; Your purchasing history?; NA; Purchasing history
acceptability_data; Location_History; Your location history?; NA; Location history
acceptability_data; Watched_Videos; Videos you have watched?; NA; Videos watched
acceptability_data; typing_behaviour; Your typing and scrolling behaviour?; NA; Typing and scrolling behavior
acceptability_data; online_interaction; Interaction with people online (with whom and how often you communicate)?; NA; Interaction with people online
acceptability_data; email_messages_content; Content of your emails and online messages?; NA; Emails/online messages content
acceptability_data; likes_shares; Your likes and shares on social media?; NA; Likes and shares on social media
concern_privacy; concern_privacy; Concern about data privacy; How concerned are you, if at all, with your data privacy when using the Internet?; NA
adjustment_online_data; Google_controls; My activity or Activity controls page on your Google account; Which of the following have you used in the last year to check and/or adjust what kind of data about you is currently used by internet companies?; Google activity
adjustment_online_data; Google_privacy; Privacy and personalization page on your Google account; Which of the following have you used in the last year to check and/or adjust what kind of data about you is currently used by internet companies?; Google privacy and personalization
adjustment_online_data; Facebook_privacy; Privacy settings page on Facebook; Which of the following have you used in the last year to check and/or adjust what kind of data about you is currently used by internet companies?; Facebook privacy
adjustment_online_data; Facebook_ad_preferences; Manage your Ad preferences page on Facebook; Which of the following have you used in the last year to check and/or adjust what kind of data about you is currently used by internet companies?; Facebook ad preferences
adjustment_online_data; Amazon_privacy; Privacy and/or personalization preferences on Amazon; Which of the following have you used in the last year to check and/or adjust what kind of data about you is currently used by internet companies?; Amazon privacy and/or personalization
adjustment_online_data; browser_privacy; Privacy settings in your preferred browser; Which of the following have you used in the last year to check and/or adjust what kind of data about you is currently used by internet companies?; Browser privacy settings
adjustment_online_data; adjustment_online_data_none; None of the above; Which of the following have you used in the last year to check and/or adjust what kind of data about you is currently used by internet companies?; NA
privacy_tools; online_advertising; Software that protects you from seeing online advertising (e.g., Ad Blockers in your browser); Which of the following measures and tools do you usually use to protect your data privacy online?; Blocking online advertising
privacy_tools; browser_incognito; Incognito mode in your Browser; Which of the following measures and tools do you usually use to protect your data privacy online?; Incognito browsing
privacy_tools; monitored; Software that prevents your online activities from being monitored (e.g. Tor Browser, VPN); Which of the following measures and tools do you usually use to protect your data privacy online?; Avoiding online monitoring
privacy_tools; search_privacy; Search engines that protect your privacy (e.g., DuckDuckGo); Which of the following measures and tools do you usually use to protect your data privacy online?; Privacy-respecting search engines
privacy_tools; platforms_avoiding; Deliberately avoiding certain web-sites and platforms (e.g. Google, Facebook,...); Which of the following measures and tools do you usually use to protect your data privacy online?; Deliberately avoiding certain web-sites and platforms
privacy_tools; platforms_settings; Adjusting privacy and ad settings on online platforms; Which of the following measures and tools do you usually use to protect your data privacy online?; NA
privacy_tools; privacy_tools_none; None of the above; Which of the following measures and tools do you usually use to protect your data privacy online?; NA
demographics; political; Political leaning; People sometimes use the labels left or left-wing and right or right-wing to describe political parties, party leaders, and political ideas. Where would you place yourself on this scale, which ranges from 1 (left-wing) to 4 (center) to 7 (right-wing)?; NA
misc; comments; comments; Please feel free to share your thoughts on this survey and the topic.; NA
